,Game,Week,Road Closing Spread,Home Closing Spread
0,GB 10 @ CHI 3,1,3.5,-3.5
1,ATL 12 @ MIN 28,1,3.5,-3.5
2,BAL 59 @ MIA 10,1,-7,7
3,BUF 17 @ NYJ 16,1,2.5,-2.5
4,KC 40 @ JAC 26,1,-3.5,3.5
5,LAR 30 @ CAR 27,1,-1.5,1.5
6,TEN 43 @ CLE 13,1,5.5,-5.5
7,WAS 27 @ PHI 32,1,10.5,-10.5
8,CIN 20 @ SEA 21,1,9.5,-9.5
9,IND 24 @ LAC 30,1,6,-6
10,DET 27 @ ARI 27,1,-2.5,2.5
11,NYG 17 @ DAL 35,1,7,-7
12,SF 31 @ TB 17,1,1,-1
13,PIT 3 @ NE 33,1,5.5,-5.5
14,HOU 28 @ NO 30,1,6.5,-6.5
15,DEN 16 @ OAK 24,1,-3,3
16,ATL 12 @ PHI 18,1,1,-1
17,BUF 3 @ BAL 47,1,7.5,-7.5
18,CIN 34 @ IND 23,1,-1,1
19,HOU 20 @ NE 27,1,6,-6
20,JAC 20 @ NYG 15,1,-2.5,2.5
21,PIT 21 @ CLE 21,1,-3.5,3.5
22,SF 16 @ MIN 24,1,6,-6
23,TB 48 @ NO 40,1,10,-10
24,TEN 20 @ MIA 27,1,-1,1
25,KC 38 @ LAC 28,1,3.5,-3.5
26,DAL 8 @ CAR 16,1,2.5,-2.5
27,SEA 24 @ DEN 27,1,3,-3
28,WAS 24 @ ARI 6,1,2,-2
29,CHI 23 @ GB 24,1,6.5,-6.5
30,NYJ 48 @ DET 17,1,7,-7
31,LAR 33 @ OAK 13,1,-6,6
32,KC 42 @ NE 27,1,8,-8
33,JAC 29 @ HOU 7,1,5.5,-5.5
34,NYJ 12 @ BUF 21,1,7,-7
35,PHI 30 @ WAS 17,1,-2,2
36,OAK 26 @ TEN 16,1,2.5,-2.5
37,ATL 23 @ CHI 17,1,-6.5,6.5
38,BAL 20 @ CIN 0,1,2.5,-2.5
39,PIT 21 @ CLE 18,1,-10,10
40,ARI 23 @ DET 35,1,-2.5,2.5
41,IND 9 @ LAR 46,1,3.5,-3.5
42,SEA 9 @ GB 17,1,2.5,-2.5
43,CAR 23 @ SF 3,1,-4.5,4.5
44,NYG 3 @ DAL 19,1,6,-6
45,NO 19 @ MIN 29,1,3,-3
46,LAC 21 @ DEN 24,1,3,-3
47,TB 30 @ MIA 20,1,-1,1
48,CAR 20 @ DEN 21,1,-3,3
49,BUF 7 @ BAL 13,1,3,-3
50,GB 27 @ JAC 23,1,-3.5,3.5
51,SD 27 @ KC 33,1,6.5,-6.5
52,OAK 35 @ NO 34,1,2.5,-2.5
53,CHI 14 @ HOU 23,1,5.5,-5.5
54,CLE 10 @ PHI 29,1,3.5,-3.5
55,MIN 25 @ TEN 16,1,-2.5,2.5
56,TB 31 @ ATL 24,1,2.5,-2.5
57,CIN 23 @ NYJ 22,1,1,-1
58,MIA 10 @ SEA 12,1,10.5,-10.5
59,NYG 20 @ DAL 19,1,1,-1
60,DET 39 @ IND 35,1,2.5,-2.5
61,NE 23 @ ARI 21,1,9,-9
62,PIT 38 @ WAS 16,1,-2.5,2.5
63,LA 0 @ SF 28,1,-2.5,2.5
64,PIT 21 @ NE 28,1,7.5,-7.5
65,KC 27 @ HOU 20,1,-1,1
66,IND 14 @ BUF 27,1,-1,1
67,GB 31 @ CHI 23,1,-5.5,5.5
68,CAR 20 @ JAC 9,1,-3,3
69,CLE 10 @ NYJ 31,1,3.5,-3.5
70,MIA 17 @ WAS 10,1,-4,4
71,SEA 31 @ STL 34,1,-3.5,3.5
72,DET 28 @ SD 33,1,3.5,-3.5
73,NO 19 @ ARI 31,1,2,-2
74,CIN 33 @ OAK 13,1,-3,3
75,BAL 13 @ DEN 19,1,4.5,-4.5
76,TEN 42 @ TB 14,1,3,-3
77,NYG 26 @ DAL 27,1,7,-7
78,PHI 24 @ ATL 26,1,-3.5,3.5
79,MIN 3 @ SF 20,1,-2.5,2.5
80,GB 16 @ SEA 36,1,4.5,-4.5
81,NO 34 @ ATL 37,1,-3,3
82,MIN 34 @ STL 6,1,3,-3
83,CLE 27 @ PIT 30,1,5.5,-5.5
84,JAC 17 @ PHI 34,1,10,-10
85,OAK 14 @ NYJ 19,1,6.5,-6.5
