,Away Team,Home Team,Week,Year,Road Closing Spread,Home Closing Spread
0,GB,CHI,1,2019,3.5,-3.5
1,ATL,MIN,1,2019,3.5,-3.5
2,BAL,MIA,1,2019,-7,7
3,BUF,NYJ,1,2019,2.5,-2.5
4,KC,JAC,1,2019,-3.5,3.5
5,LAR,CAR,1,2019,-1.5,1.5
6,TEN,CLE,1,2019,5.5,-5.5
7,WAS,PHI,1,2019,10.5,-10.5
8,CIN,SEA,1,2019,9.5,-9.5
9,IND,LAC,1,2019,6,-6
10,DET,ARI,1,2019,-2.5,2.5
11,NYG,DAL,1,2019,7,-7
12,SF,TB,1,2019,1,-1
13,PIT,NE,1,2019,5.5,-5.5
14,HOU,NO,1,2019,6.5,-6.5
15,DEN,OAK,1,2019,-3,3
16,ATL,PHI,1,2018,1,-1
17,BUF,BAL,1,2018,7.5,-7.5
18,CIN,IND,1,2018,-1,1
19,HOU,NE,1,2018,6,-6
20,JAC,NYG,1,2018,-2.5,2.5
21,PIT,CLE,1,2018,-3.5,3.5
22,SF,MIN,1,2018,6,-6
23,TB,NO,1,2018,10,-10
24,TEN,MIA,1,2018,-1,1
25,KC,LAC,1,2018,3.5,-3.5
26,DAL,CAR,1,2018,2.5,-2.5
27,SEA,DEN,1,2018,3,-3
28,WAS,ARI,1,2018,2,-2
29,CHI,GB,1,2018,6.5,-6.5
30,NYJ,DET,1,2018,7,-7
31,LAR,OAK,1,2018,-6,6
32,KC,NE,1,2017,8,-8
33,JAC,HOU,1,2017,5.5,-5.5
34,NYJ,BUF,1,2017,7,-7
35,PHI,WAS,1,2017,-2,2
36,OAK,TEN,1,2017,2.5,-2.5
37,ATL,CHI,1,2017,-6.5,6.5
38,BAL,CIN,1,2017,2.5,-2.5
39,PIT,CLE,1,2017,-10,10
40,ARI,DET,1,2017,-2.5,2.5
41,IND,LAR,1,2017,3.5,-3.5
42,SEA,GB,1,2017,2.5,-2.5
43,CAR,SF,1,2017,-4.5,4.5
44,NYG,DAL,1,2017,6,-6
45,NO,MIN,1,2017,3,-3
46,LAC,DEN,1,2017,3,-3
47,TB,MIA,1,2017,-1,1
48,CAR,DEN,1,2016,-3,3
49,BUF,BAL,1,2016,3,-3
